canonicalId,name,country,mainlandChina,rankingSources,qsRank,theRank,arwuRank,usnewsRank,goalCategory,programCaptured,programCandidates
u_universiti_utara_malaysia,Universiti Utara Malaysia,Malaysia,False,the,,401,,,verified-zero-candidates,0,0
u_university_of_malaya,University of Malaya,Malaysia,False,qs|the|arwu|usnews,56,201,,311,verified-zero-candidates,0,0
u_national_autonomous_university_of_mexico,National Autonomous University of Mexico,Mexico,False,qs|arwu|usnews,145,,201,355,verified-zero-candidates,0,0
u_tilburg_university,Tilburg University,Netherlands,False,qs|the,430,301,,,existing-program-raw,0,3
u_wageningen_university_research,Wageningen University & Research,Netherlands,False,qs|the|arwu,154,66,151,,existing-program-raw,0,3
u_wageningen_university_and_research_center,Wageningen University and Research Center,Netherlands,False,usnews,,,,119,existing-program-raw,0,3
u_massey_university,Massey University,New Zealand,False,qs,215,,,,new-program-raw,0,2
u_university_of_canterbury_te_whare_wānanga_o_waitaha,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,False,qs,257,,,,verified-zero-candidates,0,0
u_university_of_ibadan,University of Ibadan,Nigeria,False,usnews,,,,264,verified-zero-candidates,0,0
u_comsats_university_islamabad_cui,COMSATS University Islamabad (CUI),Pakistan,False,usnews,,,,410,verified-zero-candidates,0,0
u_quaid_i_azam_university,Quaid-i-Azam University,Pakistan,False,qs|the|usnews,382,401,,451,verified-zero-candidates,0,0
u_university_of_the_philippines_manila,University of the Philippines Manila,Philippines,False,usnews,,,,447,verified-zero-candidates,0,0
u_jagiellonian_university,Jagiellonian University,Poland,False,qs|arwu|usnews,330,,,394,verified-zero-candidates,0,0
u_university_of_coimbra,University of Coimbra,Portugal,False,qs|the|usnews,343,401,,444,existing-program-raw,0,3
u_university_of_lisbon,University of Lisbon,Portugal,False,qs|the|arwu|usnews,238,401,201,245,existing-program-raw,0,3
u_hamad_bin_khalifa_university_hbku,Hamad Bin Khalifa University (HBKU),Qatar,False,qs|usnews,213,,,487,verified-zero-candidates,0,0
u_hse_university,HSE University,Russia,False,qs|the,424,,,,existing-zero-candidates,0,0
u_south_ural_state_university,South Ural State University,Russia,False,usnews,,,,497,verified-zero-candidates,0,0
u_king_saud_university,King Saud University,Saudi Arabia,False,qs|the|arwu|usnews,108,251,101,139,verified-zero-candidates,0,0
u_prince_mohammad_bin_fahd_university,Prince Mohammad Bin Fahd university,Saudi Arabia,False,qs|the,422,301,,,verified-zero-candidates,0,0
u_university_of_belgrade,University of Belgrade,Serbia,False,arwu|usnews,,,401,451,verified-zero-candidates,0,0
u_university_of_ljubljana,University of Ljubljana,Slovenia,False,usnews,,,,491,verified-zero-candidates,0,0
u_university_of_cape_town,University of Cape Town,South Africa,False,qs|the|arwu|usnews,184,164,201,122,verified-zero-candidates,0,0
u_university_of_kwazulu_natal,University of KwaZulu Natal,South Africa,False,usnews,,,,421,new-program-raw,0,1
u_university_of_the_witwatersrand,University of the Witwatersrand,South Africa,False,qs|the|arwu|usnews,302,301,201,240,verified-zero-candidates,0,0
u_chung_ang_university,Chung-Ang University,South Korea,False,qs|the,433,401,,,verified-zero-candidates,0,0
u_kaist,KAIST,South Korea,False,qs,65,,,,verified-zero-candidates,0,0
u_korea_advanced_institute_of_science_and_technology,Korea Advanced Institute of Science and Technology,South Korea,False,the|arwu|usnews,,70,201,245,verified-zero-candidates,0,0
u_ulsan_national_institute_of_science_and_technology_unist,Ulsan National Institute of Science and Technology (UNIST),South Korea,False,qs|the|arwu|usnews,299,201,301,421,new-program-raw,0,1
u_autonomous_university_of_madrid,Autonomous University of Madrid,Spain,False,qs|the|arwu|usnews,226,351,301,259,existing-program-raw,0,3
u_pompeu_fabra_university,Pompeu Fabra University,Spain,False,qs|the|arwu|usnews,263,187,301,270,existing-program-raw,0,3
u_universitat_ramon_llull,Universitat Ramon Llull,Spain,False,qs,477,,,,existing-zero-candidates,0,0
u_chalmers_university_of_technology,Chalmers University of Technology,Sweden,False,qs|the|arwu|usnews,174,201,301,348,existing-program-raw,0,3
u_national_cheng_kung_university_ncku,National Cheng Kung University (NCKU),Taiwan,False,qs|arwu,191,,401,,verified-zero-candidates,0,0
u_istanbul_university,Istanbul University,Turkey,False,arwu,,,,,existing-zero-candidates,0,0
u_zayed_university,Zayed University,United Arab Emirates,False,the,,,,,verified-zero-candidates,0,0
u_heriot_watt_university,Heriot-Watt University,United Kingdom,False,qs|the,325,401,,,verified-zero-candidates,0,0
u_lancaster_university,Lancaster University,United Kingdom,False,qs|the|arwu|usnews,164,184,301,324,verified-zero-candidates,0,0
u_london_school_of_economics_and_political_science,London School of Economics and Political Science,United Kingdom,False,qs|the|arwu|usnews,62,52,151,223,verified-zero-candidates,0,0
u_loughborough_university,Loughborough University,United Kingdom,False,qs|the|usnews,203,301,,494,verified-zero-candidates,0,0
u_royal_holloway_university_of_london,"Royal Holloway, University of London",United Kingdom,False,qs|the,486,401,,,verified-zero-candidates,0,0
u_soas_university_of_london,SOAS University of London,United Kingdom,False,qs|the,460,401,,,verified-zero-candidates,0,0
u_university_of_east_anglia,University of East Anglia,United Kingdom,False,qs|the|arwu|usnews,383,251,301,405,verified-zero-candidates,0,0
u_university_of_edinburgh,University of Edinburgh,United Kingdom,False,qs|the|arwu|usnews,35,29,37,41,verified-zero-candidates,0,0
u_university_of_glasgow,University of Glasgow,United Kingdom,False,qs|the|arwu|usnews,80,84,101,77,verified-zero-candidates,0,0
u_university_of_st_andrews,University of St Andrews,United Kingdom,False,qs|the|arwu|usnews,117,162,301,375,verified-zero-candidates,0,0
u_baylor_university,Baylor University,United States,False,usnews,,,,451,verified-zero-candidates,0,0
u_boston_university,Boston University,United States,False,qs|the|arwu|usnews,94,76,101,96,verified-zero-candidates,0,0
u_california_institute_of_technology,California Institute of Technology,United States,False,qs|the|arwu|usnews,7,7,9,23,verified-zero-candidates,0,0
u_cornell_university,Cornell University,United States,False,qs|the|arwu|usnews,16,18,12,13,verified-zero-candidates,0,0
u_florida_state_university,Florida State University,United States,False,the|arwu|usnews,,301,301,314,verified-zero-candidates,0,0
u_indiana_university_bloomington,Indiana University Bloomington,United States,False,qs|arwu|usnews,360,,101,155,new-program-raw,0,1
u_massachusetts_institute_of_technology_mit,Massachusetts Institute of Technology (MIT),United States,False,qs|the|arwu|usnews,1,2,3,2,verified-zero-candidates,0,0
u_new_york_university,New York University,United States,False,qs|the|arwu|usnews,58,31,28,36,verified-zero-candidates,0,0
u_princeton_university,Princeton University,United States,False,qs|the|arwu|usnews,27,3,7,14,verified-zero-candidates,0,0
u_rensselaer_polytechnic_institute,Rensselaer Polytechnic Institute,United States,False,the,,,,,verified-zero-candidates,0,0
u_rockefeller_university,Rockefeller University,United States,False,arwu|usnews,,,29,125,verified-zero-candidates,0,0
u_tulane_university,Tulane University,United States,False,the|usnews,,401,,371,verified-zero-candidates,0,0
u_university_of_california_davis,"University of California, Davis",United States,False,qs|the|arwu|usnews,137,64,101,95,verified-zero-candidates,0,0
u_university_of_california_irvine,"University of California, Irvine",United States,False,qs|the|arwu|usnews,252,97,79,99,verified-zero-candidates,0,0
u_university_of_cincinnati,University of Cincinnati,United States,False,arwu|usnews,,,301,213,new-program-raw,0,1
u_university_of_florida,University of Florida,United States,False,qs|the|arwu|usnews,228,134,151,105,verified-zero-candidates,0,0
u_university_of_georgia,University of Georgia,United States,False,the|arwu|usnews,,351,301,335,verified-zero-candidates,0,0
u_university_of_iowa,University of Iowa,United States,False,the|arwu|usnews,,301,301,249,verified-zero-candidates,0,0
u_university_of_kansas,University of Kansas,United States,False,the|arwu|usnews,,351,301,357,verified-zero-candidates,0,0
u_university_of_miami,University of Miami,United States,False,qs|the|arwu|usnews,340,201,301,233,verified-zero-candidates,0,0
u_university_of_notre_dame,University of Notre Dame,United States,False,qs|the|arwu|usnews,301,194,301,378,verified-zero-candidates,0,0
u_university_of_pittsburgh,University of Pittsburgh,United States,False,qs|the|arwu|usnews,281,156,88,57,new-program-raw,0,1
u_university_of_tennessee,University of Tennessee,United States,False,usnews,,,,336,verified-zero-candidates,0,0
u_university_of_texas_at_austin,University of Texas at Austin,United States,False,qs|the|arwu|usnews,72,50,49,56,verified-zero-candidates,0,0
u_university_of_wisconsin_madison,University of Wisconsin-Madison,United States,False,qs|the|arwu|usnews,132,53,36,60,verified-zero-candidates,0,0
u_vanderbilt_university,Vanderbilt University,United States,False,qs|the|arwu|usnews,265,92,62,68,verified-zero-candidates,0,0
u_washington_state_university,Washington State University,United States,False,the|arwu|usnews,,,401,425,verified-zero-candidates,0,0
u_wayne_state_university,Wayne State University,United States,False,usnews,,,,466,verified-zero-candidates,0,0
u_yale_university,Yale University,United States,False,qs|the|arwu|usnews,17,10,11,8,verified-zero-candidates,0,0
