canonicalId,name,country,mainlandChina,rankingSources,qsRank,theRank,arwuRank,usnewsRank,goalCategory,programCaptured,programCandidates
u_singapore_university_of_technology_and_design,Singapore University of Technology and Design,Singapore,False,qs|usnews,266,,,359,official-blocked,0,0
u_stellenbosch_university,Stellenbosch University,South Africa,False,qs|the|arwu|usnews,296,301,401,299,official-blocked,0,0
u_university_of_johannesburg,University of Johannesburg,South Africa,False,qs|the|arwu|usnews,292,351,,281,official-blocked,0,0
u_daegu_gyeongbuk_institute_of_science_and_technology_dgist,Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea,False,qs|the,385,351,,,official-blocked,0,0
u_university_of_ulsan,University of Ulsan,South Korea,False,arwu,,,,,official-blocked,0,0
u_asia_university_taiwan,"Asia University, Taiwan",Taiwan,False,the,,401,,,official-blocked,0,0
u_national_sun_yat_sen_university_nsysu,National Sun Yat-sen University (NSYSU),Taiwan,False,qs,441,,,,official-blocked,0,0
u_national_taipei_university_of_technology,National Taipei University of Technology,Taiwan,False,qs,494,,,,official-blocked,0,0
u_national_taiwan_university_ntu,National Taiwan University (NTU),Taiwan,False,qs|the|arwu|usnews,54,140,201,233,official-blocked,0,0
u_national_tsing_hua_university,National Tsing Hua University,Taiwan,False,qs|the|arwu,143,401,401,,official-blocked,0,0
u_taipei_medical_university,Taipei Medical University,Taiwan,False,the,,401,,,official-blocked,0,0
u_chulalongkorn_university,Chulalongkorn University,Thailand,False,qs|usnews,212,,,491,official-blocked,0,0
u_mahidol_university,Mahidol University,Thailand,False,qs,346,,,,official-blocked,0,0
u_abu_dhabi_university,Abu Dhabi University,United Arab Emirates,False,qs|the,348,201,,,official-blocked,0,0
u_ajman_university,Ajman University,United Arab Emirates,False,qs|the,397,401,,,official-blocked,0,0
u_khalifa_university,Khalifa University,United Arab Emirates,False,qs|the,147,201,,,official-blocked,0,0
u_khalifa_university_of_science_and_technology,Khalifa University of Science and Technology,United Arab Emirates,False,usnews,,,,340,official-blocked,0,0
u_bournemouth_university,Bournemouth University,United Kingdom,False,the,,401,,,official-blocked,0,0
u_cardiff_university,Cardiff University,United Kingdom,False,qs|the|arwu|usnews,179,201,201,211,official-blocked,0,0
u_city_st_georges_university_of_london,"City St George’s, University of London",United Kingdom,False,qs|usnews,363,,,318,official-blocked,0,0
u_city_university_of_london,"City, University of London",United Kingdom,False,the,,,,,official-blocked,0,0
u_durham_university,Durham University,United Kingdom,False,qs|the|arwu|usnews,85,175,201,270,official-blocked,0,0
u_liverpool_john_moores_university,Liverpool John Moores University,United Kingdom,False,usnews,,,,451,official-blocked,0,0
u_london_school_of_hygiene_and_tropical_medicine,London School of Hygiene and Tropical Medicine,United Kingdom,False,arwu|usnews,,,201,127,official-blocked,0,0
u_queen_mary_university_of_london,Queen Mary University of London,United Kingdom,False,qs|the|arwu|usnews,104,134,201,101,official-blocked,0,0
u_queens_university_belfast,Queen's University Belfast,United Kingdom,False,qs|the|arwu|usnews,176,198,301,241,official-blocked,0,0
u_ucl,UCL,United Kingdom,False,qs|the,9,22,,,official-blocked,0,0
u_university_college_london,University College London,United Kingdom,False,arwu|usnews,,,14,9,official-blocked,0,0
u_university_of_birmingham,University of Birmingham,United Kingdom,False,qs|the|arwu|usnews,69,98,151,97,official-blocked,0,0
u_university_of_bristol,University of Bristol,United Kingdom,False,qs|the|arwu|usnews,57,80,98,115,official-blocked,0,0
u_university_of_dundee,University of Dundee,United Kingdom,False,qs|the|arwu|usnews,448,301,301,437,official-blocked,0,0
u_university_of_essex,University of Essex,United Kingdom,False,qs|the,439,301,,,official-blocked,0,0
u_university_of_leicester,University of Leicester,United Kingdom,False,qs|the|arwu|usnews,316,192,301,166,official-blocked,0,0
u_university_of_oxford,University of Oxford,United Kingdom,False,qs|the|arwu|usnews,4,1,6,4,official-blocked,0,0
u_albert_einstein_college_of_medicine,Albert Einstein College of Medicine,United States,False,arwu,,,301,,official-blocked,0,0
u_baylor_college_of_medicine,Baylor College of Medicine,United States,False,arwu|usnews,,,201,144,official-blocked,0,0
u_brandeis_university,Brandeis University,United States,False,the|arwu,,401,301,,official-blocked,0,0
u_cuny_graduate_school_and_university_center,CUNY Graduate School and University Center,United States,False,arwu,,,401,,official-blocked,0,0
